trial,tStim,bStim,cue,prompt,est,estRT,conf,confRT,Participant,sessNum,presTime,counterBalance,waitTime,estTime,
0,335_MEDHIGH.jpg,285_LOW.jpg,2,bottom,0.084,3.007,5,1.854,asdads,0,0.2,cb,2.0,3.0,
1,1124_MEDLOW.jpg,1057_MEDHIGH.jpg,3,top,0.039,3.002,4,1.934,asdads,0,0.2,cb,2.0,3.0,
2,1377_MEDHIGH.jpg,395_HIGH.jpg,1,top,0.018,3.011,5,1.921,asdads,0,0.2,cb,2.0,3.0,
