trial,tStim,bStim,cue,prompt,fchoice,fcRT,est,estRT,conf,confRT,Participant,sessNum,presTime,counterBalance,waitTime,estTime,
0,604_LOW.jpg,818_MEDLOW.jpg,3,0,NaN,NaN,0.027,3.008,2,1.819,test,0,0.2,non,2.0,3.0,
1,20_MEDLOW.jpg,1350_LOW.jpg,3,0,NaN,NaN,0.007,3.014,5,1.918,test,0,0.2,non,2.0,3.0,
