top,bottom,cue,prompt
461_HIGH.jpg,1291_MEDLOW.jpg,3,0
807_HIGH.jpg,1402_MEDLOW.jpg,2,1
16_HIGH.jpg,537_MEDLOW.jpg,1,0
861_LOW.jpg,961_HIGH.jpg,3,0
187_LOW.jpg,748_HIGH.jpg,2,1
343_LOW.jpg,568_HIGH.jpg,1,0
268_LOW.jpg,551_HIGH.jpg,0,1
159_LOW.jpg,808_HIGH.jpg,3,0
282_LOW.jpg,138_HIGH.jpg,2,1
248_LOW.jpg,457_HIGH.jpg,1,0
834_LOW.jpg,946_HIGH.jpg,0,1
222_LOW.jpg,1392_HIGH.jpg,3,0
113_LOW.jpg,1047_HIGH.jpg,2,1
1370_LOW.jpg,624_HIGH.jpg,1,0
303_LOW.jpg,1240_HIGH.jpg,0,1
277_LOW.jpg,1304_HIGH.jpg,3,0
1167_LOW.jpg,1332_HIGH.jpg,2,1
641_LOW.jpg,640_HIGH.jpg,1,0
20_LOW.jpg,1249_HIGH.jpg,0,1
1040_LOW.jpg,923_HIGH.jpg,3,0
1172_LOW.jpg,678_HIGH.jpg,2,1
262_LOW.jpg,1399_HIGH.jpg,1,0
665_LOW.jpg,355_HIGH.jpg,0,1
137_LOW.jpg,679_HIGH.jpg,3,0
1222_LOW.jpg,181_HIGH.jpg,2,1
1387_LOW.jpg,1272_HIGH.jpg,1,0
70_LOW.jpg,492_HIGH.jpg,0,1
987_LOW.jpg,125_HIGH.jpg,3,0
728_LOW.jpg,773_HIGH.jpg,2,1
13_LOW.jpg,112_HIGH.jpg,1,0
823_LOW.jpg,424_HIGH.jpg,0,1
974_LOW.jpg,111_HIGH.jpg,3,0
1210_LOW.jpg,1302_HIGH.jpg,2,1
981_LOW.jpg,1066_HIGH.jpg,1,0
485_LOW.jpg,831_HIGH.jpg,0,1
620_LOW.jpg,863_HIGH.jpg,3,0
130_LOW.jpg,659_HIGH.jpg,2,1
369_LOW.jpg,915_HIGH.jpg,1,0
247_LOW.jpg,387_HIGH.jpg,0,1
1248_LOW.jpg,1160_HIGH.jpg,3,0
1179_LOW.jpg,1391_HIGH.jpg,2,1
496_LOW.jpg,991_HIGH.jpg,1,0
162_LOW.jpg,1088_MEDHIGH.jpg,3,0
966_LOW.jpg,910_MEDHIGH.jpg,2,1
1220_LOW.jpg,14_MEDHIGH.jpg,1,0
1243_LOW.jpg,479_MEDHIGH.jpg,0,1
126_LOW.jpg,1195_MEDHIGH.jpg,3,0
346_LOW.jpg,649_MEDHIGH.jpg,2,1
727_LOW.jpg,170_MEDHIGH.jpg,1,0
133_LOW.jpg,816_MEDHIGH.jpg,0,1
533_LOW.jpg,26_MEDHIGH.jpg,3,0
1235_LOW.jpg,531_MEDHIGH.jpg,2,1
937_LOW.jpg,386_MEDHIGH.jpg,1,0
1200_LOW.jpg,1110_MEDHIGH.jpg,0,1
513_LOW.jpg,1050_MEDHIGH.jpg,3,0
1259_LOW.jpg,165_MEDHIGH.jpg,2,1
1094_LOW.jpg,226_MEDHIGH.jpg,1,0
265_LOW.jpg,880_MEDHIGH.jpg,0,1
401_LOW.jpg,32_MEDHIGH.jpg,3,0
836_LOW.jpg,958_MEDHIGH.jpg,2,1
323_LOW.jpg,260_MEDHIGH.jpg,1,0
1211_LOW.jpg,751_MEDHIGH.jpg,0,1
561_LOW.jpg,730_MEDHIGH.jpg,3,0
88_LOW.jpg,1265_MEDHIGH.jpg,2,1
1349_LOW.jpg,795_MEDHIGH.jpg,1,0
950_LOW.jpg,69_MEDHIGH.jpg,0,1
651_LOW.jpg,463_MEDHIGH.jpg,3,0
29_LOW.jpg,553_MEDHIGH.jpg,2,1
504_LOW.jpg,526_MEDHIGH.jpg,1,0
37_LOW.jpg,701_MEDHIGH.jpg,0,1
1006_LOW.jpg,464_MEDHIGH.jpg,3,0
860_LOW.jpg,455_MEDHIGH.jpg,2,1
535_LOW.jpg,1298_MEDHIGH.jpg,1,0
94_LOW.jpg,488_MEDHIGH.jpg,0,1
84_LOW.jpg,5_MEDHIGH.jpg,3,0
1367_LOW.jpg,1409_MEDHIGH.jpg,2,1
1074_LOW.jpg,941_MEDHIGH.jpg,1,0
199_LOW.jpg,46_MEDHIGH.jpg,0,1
913_LOW.jpg,817_MEDHIGH.jpg,3,0
1035_LOW.jpg,587_MEDHIGH.jpg,2,1
1246_LOW.jpg,534_MEDHIGH.jpg,1,0
664_LOW.jpg,530_MEDLOW.jpg,3,0
1078_LOW.jpg,421_MEDLOW.jpg,2,1
1082_LOW.jpg,793_MEDLOW.jpg,1,0
682_LOW.jpg,1174_MEDLOW.jpg,0,1
1058_LOW.jpg,626_MEDLOW.jpg,3,0
879_LOW.jpg,510_MEDLOW.jpg,2,1
549_LOW.jpg,639_MEDLOW.jpg,1,0
1339_LOW.jpg,865_MEDLOW.jpg,0,1
