top,bottom,flicker
805_medLow.jpg,1575_low.jpg,0
724_medLow.jpg,1682_low.jpg,0
486_medLow.jpg,405_low.jpg,0
1247_medLow.jpg,833_low.jpg,2
605_medLow.jpg,352_low.jpg,2
790_medLow.jpg,219_low.jpg,2
1230_medLow.jpg,195_low.jpg,2
391_medLow.jpg,1275_low.jpg,1
806_medLow.jpg,1469_low.jpg,1
153_medLow.jpg,1243_low.jpg,1
1769_medLow.jpg,1378_low.jpg,1
27_medLow.jpg,267_low.jpg,3
1072_medLow.jpg,1179_low.jpg,3
730_medLow.jpg,804_low.jpg,3
321_medLow.jpg,24_low.jpg,3
1713_medLow.jpg,734_medhigh.jpg,0
1018_medLow.jpg,1329_medhigh.jpg,0
1638_medLow.jpg,1161_medhigh.jpg,0
1344_medLow.jpg,1700_medhigh.jpg,2
50_medLow.jpg,1720_medhigh.jpg,2
558_medLow.jpg,1174_medhigh.jpg,2
32_medLow.jpg,1031_medhigh.jpg,2
1253_medLow.jpg,652_medhigh.jpg,1
1294_medLow.jpg,1301_medhigh.jpg,1
510_medLow.jpg,1280_medhigh.jpg,1
1377_medLow.jpg,203_medhigh.jpg,1
1123_medLow.jpg,110_medhigh.jpg,3
1520_medLow.jpg,1004_medhigh.jpg,3
1655_medLow.jpg,1438_medhigh.jpg,3
15_medLow.jpg,765_medhigh.jpg,3
