top,bottom,cue,prompt
173_HIGH.jpg,771_MEDLOW.jpg,3,0
1090_HIGH.jpg,528_MEDLOW.jpg,2,1
495_HIGH.jpg,1236_MEDLOW.jpg,1,0
227_LOW.jpg,795_HIGH.jpg,3,0
791_LOW.jpg,848_HIGH.jpg,2,1
844_LOW.jpg,520_HIGH.jpg,1,0
559_LOW.jpg,1067_HIGH.jpg,0,1
975_LOW.jpg,244_HIGH.jpg,3,0
1115_LOW.jpg,99_HIGH.jpg,2,1
988_LOW.jpg,269_HIGH.jpg,1,0
839_LOW.jpg,1242_HIGH.jpg,0,1
1205_LOW.jpg,1338_HIGH.jpg,3,0
1100_LOW.jpg,212_HIGH.jpg,2,1
1170_LOW.jpg,1005_HIGH.jpg,1,0
334_LOW.jpg,482_HIGH.jpg,0,1
1175_LOW.jpg,279_HIGH.jpg,3,0
484_LOW.jpg,314_HIGH.jpg,2,1
1031_LOW.jpg,455_HIGH.jpg,1,0
755_LOW.jpg,338_HIGH.jpg,0,1
840_LOW.jpg,990_HIGH.jpg,3,0
1174_LOW.jpg,1267_HIGH.jpg,2,1
488_LOW.jpg,507_HIGH.jpg,1,0
426_LOW.jpg,1011_HIGH.jpg,0,1
456_LOW.jpg,635_HIGH.jpg,3,0
1161_LOW.jpg,43_HIGH.jpg,2,1
1288_LOW.jpg,23_HIGH.jpg,1,0
920_LOW.jpg,404_HIGH.jpg,0,1
1398_LOW.jpg,297_HIGH.jpg,3,0
1209_LOW.jpg,788_HIGH.jpg,2,1
108_LOW.jpg,472_HIGH.jpg,1,0
253_LOW.jpg,1225_HIGH.jpg,0,1
350_LOW.jpg,1114_HIGH.jpg,3,0
305_LOW.jpg,819_HIGH.jpg,2,1
905_LOW.jpg,1232_HIGH.jpg,1,0
1230_LOW.jpg,188_HIGH.jpg,0,1
364_LOW.jpg,485_HIGH.jpg,3,0
809_LOW.jpg,818_HIGH.jpg,2,1
776_LOW.jpg,717_HIGH.jpg,1,0
780_LOW.jpg,907_HIGH.jpg,0,1
767_LOW.jpg,1409_HIGH.jpg,3,0
1287_LOW.jpg,1036_HIGH.jpg,2,1
762_LOW.jpg,730_HIGH.jpg,1,0
248_LOW.jpg,263_MEDHIGH.jpg,3,0
224_LOW.jpg,1109_MEDHIGH.jpg,2,1
1364_LOW.jpg,381_MEDHIGH.jpg,1,0
1286_LOW.jpg,155_MEDHIGH.jpg,0,1
492_LOW.jpg,1219_MEDHIGH.jpg,3,0
991_LOW.jpg,154_MEDHIGH.jpg,2,1
191_LOW.jpg,1396_MEDHIGH.jpg,1,0
1406_LOW.jpg,237_MEDHIGH.jpg,0,1
304_LOW.jpg,969_MEDHIGH.jpg,3,0
216_LOW.jpg,421_MEDHIGH.jpg,2,1
918_LOW.jpg,1157_MEDHIGH.jpg,1,0
1203_LOW.jpg,1383_MEDHIGH.jpg,0,1
572_LOW.jpg,812_MEDHIGH.jpg,3,0
1257_LOW.jpg,487_MEDHIGH.jpg,2,1
453_LOW.jpg,506_MEDHIGH.jpg,1,0
618_LOW.jpg,11_MEDHIGH.jpg,0,1
408_LOW.jpg,1366_MEDHIGH.jpg,3,0
489_LOW.jpg,638_MEDHIGH.jpg,2,1
1305_LOW.jpg,674_MEDHIGH.jpg,1,0
724_LOW.jpg,1103_MEDHIGH.jpg,0,1
1314_LOW.jpg,319_MEDHIGH.jpg,3,0
868_LOW.jpg,1144_MEDHIGH.jpg,2,1
192_LOW.jpg,31_MEDHIGH.jpg,1,0
189_LOW.jpg,265_MEDHIGH.jpg,0,1
662_LOW.jpg,486_MEDHIGH.jpg,3,0
688_LOW.jpg,213_MEDHIGH.jpg,2,1
666_LOW.jpg,207_MEDHIGH.jpg,1,0
107_LOW.jpg,613_MEDHIGH.jpg,0,1
301_LOW.jpg,659_MEDHIGH.jpg,3,0
1280_LOW.jpg,779_MEDHIGH.jpg,2,1
96_LOW.jpg,55_MEDHIGH.jpg,1,0
339_LOW.jpg,168_MEDHIGH.jpg,0,1
330_LOW.jpg,1063_MEDHIGH.jpg,3,0
383_LOW.jpg,768_MEDHIGH.jpg,2,1
538_LOW.jpg,784_MEDHIGH.jpg,1,0
631_LOW.jpg,965_MEDHIGH.jpg,0,1
1055_LOW.jpg,1065_MEDHIGH.jpg,3,0
175_LOW.jpg,1216_MEDHIGH.jpg,2,1
1008_LOW.jpg,855_MEDHIGH.jpg,1,0
1377_LOW.jpg,1291_MEDLOW.jpg,3,0
695_LOW.jpg,104_MEDLOW.jpg,2,1
1316_LOW.jpg,165_MEDLOW.jpg,1,0
434_LOW.jpg,533_MEDLOW.jpg,0,1
127_LOW.jpg,1307_MEDLOW.jpg,3,0
667_LOW.jpg,725_MEDLOW.jpg,2,1
798_LOW.jpg,636_MEDLOW.jpg,1,0
246_LOW.jpg,110_MEDLOW.jpg,0,1
1334_LOW.jpg,195_MEDLOW.jpg,3,0
743_LOW.jpg,347_MEDLOW.jpg,2,1
542_LOW.jpg,1252_MEDLOW.jpg,1,0
162_LOW.jpg,440_MEDLOW.jpg,0,1
536_LOW.jpg,544_MEDLOW.jpg,3,0
449_LOW.jpg,977_MEDLOW.jpg,2,1
1201_LOW.jpg,665_MEDLOW.jpg,1,0
461_LOW.jpg,1198_MEDLOW.jpg,0,1
1177_LOW.jpg,646_MEDLOW.jpg,3,0
197_LOW.jpg,861_MEDLOW.jpg,2,1
862_LOW.jpg,630_MEDLOW.jpg,1,0
1195_LOW.jpg,242_MEDLOW.jpg,0,1
668_LOW.jpg,268_MEDLOW.jpg,3,0
454_LOW.jpg,208_MEDLOW.jpg,2,1
1399_LOW.jpg,300_MEDLOW.jpg,1,0
221_LOW.jpg,589_MEDLOW.jpg,0,1
882_LOW.jpg,321_MEDLOW.jpg,3,0
1059_LOW.jpg,919_MEDLOW.jpg,2,1
12_LOW.jpg,1032_MEDLOW.jpg,1,0
58_LOW.jpg,687_MEDLOW.jpg,0,1
1227_LOW.jpg,700_MEDLOW.jpg,3,0
41_LOW.jpg,763_MEDLOW.jpg,2,1
539_LOW.jpg,272_MEDLOW.jpg,1,0
122_LOW.jpg,569_MEDLOW.jpg,0,1
526_LOW.jpg,909_MEDLOW.jpg,3,0
185_LOW.jpg,1277_MEDLOW.jpg,2,1
1351_LOW.jpg,199_MEDLOW.jpg,1,0
287_LOW.jpg,973_MEDLOW.jpg,0,1
33_LOW.jpg,978_MEDLOW.jpg,3,0
39_LOW.jpg,870_MEDLOW.jpg,2,1
210_LOW.jpg,1319_MEDLOW.jpg,1,0
1348_MEDHIGH.jpg,602_HIGH.jpg,3,0
46_MEDHIGH.jpg,655_HIGH.jpg,2,1
1208_MEDHIGH.jpg,853_HIGH.jpg,1,0
44_MEDHIGH.jpg,519_HIGH.jpg,0,1
1138_MEDHIGH.jpg,1256_HIGH.jpg,3,0
710_MEDHIGH.jpg,831_HIGH.jpg,2,1
1169_MEDHIGH.jpg,592_HIGH.jpg,1,0
239_MEDHIGH.jpg,948_HIGH.jpg,0,1
1071_MEDHIGH.jpg,1372_HIGH.jpg,3,0
1140_MEDHIGH.jpg,766_HIGH.jpg,2,1
587_MEDHIGH.jpg,132_HIGH.jpg,1,0
1247_MEDHIGH.jpg,1248_HIGH.jpg,0,1
62_MEDHIGH.jpg,683_HIGH.jpg,3,0
917_MEDHIGH.jpg,1354_HIGH.jpg,2,1
441_MEDHIGH.jpg,49_HIGH.jpg,1,0
793_MEDHIGH.jpg,945_HIGH.jpg,0,1
546_MEDHIGH.jpg,1106_HIGH.jpg,3,0
563_MEDHIGH.jpg,42_HIGH.jpg,2,1
